; Europa-Germany-Blitzer: Blitzer-Laser-60_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

6.762490,51.231590,"16965|40545 Düsseldorf - Oberkassel|Oberkasseler Brücke $0x73777a41$"
12.544974,52.441027,"20096|14772 Brandenburg An Der Havel|Brielower Landstraße $0x7c7c7d8b49$"
12.575802,52.405733,"22826|14776 Brandenburg An Der Havel|Potsdamer Straße $0x8b8f9159$"
12.587350,52.403488,"22825|14776 Brandenburg An Der Havel - Neuschmerzke|B1-Potsdamer Straße $0x82838551$"
12.867910,50.859300,"14723|09111 Chemnitz-Röhrsdorf|B95-Leipziger Straße $0x8b8b90888c5a$"
12.946557,52.091176,"22277|14929 Treuenbrietzen|L812-Kemnitzer Landstraße $0x8a91909b59$"
13.038740,47.652900,"17504|83471 Unterau|B305 $0x86868854$"
13.078330,52.398610,"13895|14471 Potsdam|Nuthestraße $0x7f7d7d4c$"
13.117309,54.310291,"22547|18439 Stralsund|Rügendamm $0x7a7a818a48$"
13.241491,53.557499,"18343|17033 Neubrandenburg|B104-Rostockerstraße $0x777c7573788745$"
13.248090,52.622870,"13863|13503 Berlin - Heiligensee|A111 $0x86888e55$"
13.258312,54.299154,"22545|18574 Poseritz|L29-Stralsunder Straße $0x7c81808c4a$"
13.325520,52.538050,"17052|13627 Berlin|A100-Seestraße $0x8d8d56$"
13.498950,52.658240,"16451|16341 Panketal - Zepernick|Schönerlinder Straße $0x7d7d828e4c$"
13.697783,52.492607,"18416|15566 Schöneiche Bei Berlin|Neuenhagener Chaussee $0x7d848e4c$"
13.737480,52.565160,"16489|15345 Altlandsberg|Strausberger Straße $0x918a9a58$"
13.764358,51.090552,"23091|01099 Dresden|B97-Königsbrücker Straße $0x8b938e9c5a$"
13.846123,51.946491,"18168|15907 Lübben (Spreewald)|B115 $0x89869351$"
13.903480,52.573620,"16414|15344 Strausberg|Am Flugplatz $0x87858d55$"
14.236910,53.080980,"16172|16303 Schwedt|B166-Passower Chaussee $0x7d7f854c$"
14.238360,53.080160,"16171|16303 Schwedt|B166-Passower Chaussee $0x8a888b57$"
14.250710,53.072910,"16173|16303 Schwedt|B166-Werner-Seelenbinder-Straße $0x78767945$"
14.254638,53.070619,"18106|16303 Schwedt/Oder|B166-Werner-Seelenbinder-Straße $0x85878854$"
14.271170,53.051060,"16178|16303 Schwedt/Oder|B2-Karl-Teichmann-Straße $0x767d44$"
14.271490,53.052670,"16176|16303 Schwedt/Oder|B2-Karl-Teichmann-Straße $0x868d8855$"
14.279542,53.066077,"18493|16303 Schwedt/Oder|Vierradener Chaussee $0x84828352$"
