; Europa-Poland-Blitzer: Blitzer-50_NF.asc
; POIs from NaviFriends.com - Release: 27.05.2009
; Send informations about POIs to info@NaviFriends.com
; Free download only from www.NaviFriends.com. Not for sale!
; (C) by NaviFriends.com - free for private use

14.474835,53.377456,"19523| Przeclaw|13 $0x747342$"
17.383330,51.212970,"12904| Olesnica w belce z sygnalizacja nad skrzyzowaniem|"
17.485320,54.474310,"12939| Potegowo|"
17.610910,52.621440,"12895| Modliszewo W strone Bydgoszczy.|"
17.665920,52.322330,"13013| Wegierki|"
17.668860,52.783200,"12773| Czewujewo kierunek Poznan  50km/h|"
17.669440,52.785670,"12774| Czewujewo Obustronny|"
17.687430,52.815750,"12754| Bozejewice|"
17.839690,51.294380,"12812| Gola|"
17.918320,53.133590,"12761| Bydgoszcz ul. Nakielska|"
17.942290,50.665480,"12919| Opole ul. Plebiscytowa.|"
17.946110,50.668450,"12917| Opole|"
17.955600,50.672590,"12920| Opole ul. Sosnowskiego.|"
17.956900,53.112800,"12762| Bydgoszcz ul. Szubinska|"
17.967794,50.516424,"21785| Malnia|Ulica Opolska $0x89908e9a58$"
17.968990,53.133380,"12760| Bydgoszcz ul. Grunwaldzka|"
17.970560,50.611230,"12918| Opole ul. Oswiecimska|"
17.987370,50.644700,"12921| Opole ul. Strzelecka.|"
18.005810,52.247940,"13016| Wilczna|"
18.007240,50.491990,"12868| Krapkowice|"
18.026930,50.489000,"12811| Gogolin Ul.Strzelecka|"
18.031580,50.486450,"12869| Krapkowice|"
18.062580,53.828670,"12872| lag ?|"
18.087510,52.243130,"12813| Golina|"
18.096490,51.842830,"12954| Russów Przy hotelu Natalia.|"
18.133560,53.152700,"12763| Bydgoszcz ul. Twardzickiego|"
18.149900,53.142380,"12759| Bydgoszcz ul. Fordonska|"
18.158680,52.239810,"13014| Weglew|"
18.158760,51.748500,"13007| Tlokinia Koscielna|"
18.261790,54.603560,"13015| Wejherowo ul. Gdanska|"
18.302290,52.196930,"12757| Brzezno W strone Konina.|"
18.338380,54.622490,"12951| Reda|"
18.408840,50.874190,"12905| Olesno|"
18.411760,50.878030,"12906| Olesno|"
18.416610,50.868030,"12907| Olesno|"
18.421310,50.890230,"12909| Olesno dla wjezdzajacych do Olesna|"
18.431010,50.076360,"12955| Rydultowy ul. Radoszowska.  Obok szkoly w strone R|"
18.441300,54.553600,"12808| Gdynia ul. Hutnicza|"
18.442820,50.878820,"12908| Olesno|"
18.455070,54.534630,"12806| Gdynia Obwodnica Trójmiasta.|"
18.459030,54.522960,"12807| Gdynia Obwodnica Trójmiasta.  Dla jadacych do Gdyn|"
18.493890,49.990970,"13017| Wodzislaw slaski W kierunku Jastrzebia|"
18.536210,54.375240,"12804| Gdansk ul. Slowackiego. Dla jadacych do centrum.|"
18.554260,54.462840,"12805| Gdynia Al. Zwyciestwa.|"
18.591110,54.387250,"12802| Gdansk Rejestruje przejazd na czerwonym swietle.|"
18.611600,53.025060,"13008| Torun ul. Grunwaldzka|"
18.633160,53.016150,"13009| Torun ul. Szosa Lubicka|"
18.658550,54.255700,"12944| Pruszcz Gdanski ul. Powstanców Warszawy|"
18.660590,53.023340,"13010| Torun ul. Szosa Lubicka|"
18.670630,52.207210,"12835| Kolo Dla jadacych do Konina.|"
18.674930,54.349400,"12803| Gdansk ul. Elblaska.|"
18.720880,54.136180,"12893| Milobadz|"
18.753990,50.084310,"12923| Orzesze Za miejscowoscia Orzesze w strone Wisly.|"
18.758430,54.112920,"13005| Tczew|"
18.763100,54.110780,"13006| Tczew Dla jadacych do Tczewa.|"
18.789760,49.805850,"12966|43-430 Skoczow|"
18.795390,49.723340,"13012| Ustron Na swiatlach przy stacji beznyznowej  w str|"
18.882760,50.103440,"12817| Gostyn Kolo przejscia dla pieszych na 50 km/h|"
18.920990,50.845980,"13020| Wreczyca Wielka|"
18.922090,50.419460,"12922| Orzech W strone Tarnowskich Gór.|"
18.924970,50.372290,"12930| Piekary slaskie|"
18.927350,50.495640,"12890| Miasteczko Slaskie|"
18.951220,50.016810,"12929| Piasek|"
18.980320,51.592080,"13030| Zdunska Wola|"
18.981200,50.355160,"12931| Piekary slaskie|"
18.983610,54.043790,"12830| Klodowo|"
18.994190,50.640660,"12820| Kamienica|"
19.004700,49.704040,"12998| Szczyrk Ustawiony na wracajacych z Soliska.|"
19.029120,50.900720,"12822| Kamyk wjazd od Dzialoszyna|"
19.071370,50.460850,"12945| Pyrzowice|"
19.110200,50.339160,"12745| Bedzin|"
19.120380,50.356390,"12746| Bedzin W strone Katowic.|"
19.135280,50.807440,"12771| Czestochowa|"
19.139730,50.628800,"12965| Siedlec Duzy Trasa Katowice - Warszawa.|"
19.144350,50.705570,"12836| Kolonia Poczesna Trasa Katowice - Warszawa.|"
19.150000,50.598260,"12845| Kozieglowy Kamera na sygnalizacji|"
19.163240,50.763460,"12772| Czestochowa|"
19.201400,54.054810,"12974| Stare Pole|"
19.275450,51.978630,"12767| Cedrowice Parcele|"
19.316290,51.955790,"12744| Aleksandria|"
19.343430,50.306850,"12775| Dabrowa Gornicza|"
19.353220,51.928520,"12967| Slowik|"
19.371760,51.080290,"12950| Radziechowice II Trasa Katowice - Warszawa.|"
19.380700,54.169360,"12792| Elblag ul. Trasa Unii Europejskiej|"
19.389440,51.107720,"12977| Stobiecko Szlacheckie Trasa Katowice - Warszawa.|"
19.394530,54.187450,"12783| Elblag Al. Odrodzenia|"
19.401870,54.170500,"12789| Elblag ul. Robotnicza|"
19.404310,54.160920,"12781| Elblag ? ul. Hetmanska|"
19.404770,54.173660,"12791| Elblag ul. Stanislawa Dabka/Pionierska|"
19.405120,54.182260,"12790| Elblag ul. Stanislawa Dabka|"
19.412910,54.178310,"12784| Elblag Al. Pilsudskiego|"
19.418330,54.175060,"12786| Elblag ul. Królewiecka|"
19.420390,54.186520,"12788| Elblag ul. Ogólna|"
19.429450,54.187420,"12785| Elblag ul. Fromborska|"
19.432050,54.181380,"12787| Elblag ul. Królewiecka|"
19.438950,54.145030,"12782| Elblag Al. Grunwaldzka|"
19.450530,53.035450,"13024| Zakrocz|"
19.462750,51.729880,"12881| lódz - Górna ul. Strycharska|"
19.466340,52.435460,"12818| Gostynin 50 km/h|"
19.486450,51.211520,"12821| Kamiensk Trasa Katowice - Warszawa.|"
19.501000,51.795090,"12879| lódz|"
19.510610,51.763960,"12880| lódz|"
19.535370,50.142580,"12780| Dulowa|"
19.596980,51.895310,"12979| Stryków Wlot od strony lodzi.|"
19.634400,52.576840,"12889| Maszewo Duze|"
19.649610,52.500300,"12934| Plock|"
19.712770,52.544670,"12935| Plock|"
19.732710,51.964120,"12809| Glowno Przejscie dla pieszych|"
19.737720,52.538400,"12937| Plock ul. Wyszogrodzka kolo salonu Seata.|"
19.756130,52.535770,"12936| Plock|"
19.808190,51.803010,"12756| Bronowice|"
19.818810,53.665720,"12960| Samborowo|"
19.868020,50.098600,"12866| Kraków ul.Pasternik|"
19.879390,50.091630,"12867| Kraków ul.Pasternik|"
19.888120,50.074630,"12859| Kraków Al. Armii Krajowej w strone autostrady.|"
19.889800,50.079170,"12860| Kraków Al. Armii Krajowej w strone centrum.|"
19.891880,49.943370,"12896| Mogilany|"
19.892260,50.071620,"12861| Kraków Al. Armii Krajowej w strone centrum.|"
19.921780,50.001240,"12847| Kraków|"
19.933870,50.091590,"12848| Kraków|"
19.935710,50.041460,"12849| Kraków|"
19.945360,50.016110,"12863| Kraków ul. Turowicza|"
19.945440,50.020190,"12864| Kraków ul. Turowicza|"
19.949240,50.031250,"12850| Kraków|"
19.968550,50.043500,"12862| Kraków Przy stacji benzynowej Statoil.|"
19.969080,50.084960,"12851| Kraków|"
19.975250,50.085380,"12852| Kraków|"
19.976210,50.027130,"12865| Kraków ul. Wielicka|"
19.985140,52.743940,"12779| Drobin|"
19.985340,50.050930,"12853| Kraków|"
19.985410,53.688560,"12924| Ostróda|"
19.992660,50.016330,"12854| Kraków|"
19.996890,50.014780,"12855| Kraków|"
20.007390,50.010790,"12856| Kraków|"
20.011580,50.086090,"12857| Kraków|"
20.042420,50.070330,"12858| Kraków|"
20.063840,53.623090,"12999| Szydlak|"
20.199600,50.547250,"12828| Klemencice|"
20.453560,53.784060,"12914| Olsztyn ul. Baltycka|"
20.462890,53.761170,"12913| Olsztyn Al. Warszawska|"
20.486590,53.757580,"12912| Olsztyn Al. Sikorskiego|"
20.498750,53.773350,"12911| Olsztyn Al. Pilsudskiego|"
20.501720,53.774070,"12915| Olsztyn ul. Dworcowa|"
20.530000,50.827210,"12824| Kielce|"
20.603140,50.874540,"12827| Kielce ul. Grunwaldzka|"
20.636160,50.852270,"12825| Kielce|"
20.642340,50.885910,"12826| Kielce|"
20.711080,49.613930,"12899| Nowy Sacz|"
20.713330,49.624140,"12900| Nowy Sacz|"
20.717160,50.486040,"12758| Busko-Zdrój ul. Wojska Polskiego|"
20.718020,49.620660,"12901| Nowy Sacz|"
20.721580,49.614030,"12902| Nowy Sacz|"
20.733760,49.573330,"12903| Nowy Sacz|"
20.751840,50.467460,"12755| Bronina|"
20.829750,49.958230,"13019| Wojnicz Kierunek Rzeszów.|"
20.839110,52.291160,"12874|01-934 Laski|"
20.845270,49.958970,"13018| Wojnicz Kierunek Kraków.|"
20.949300,49.990240,"13002| Tarnów ul. Koszycka|"
20.965160,50.003450,"13003| Tarnów ul. Krakowska|"
20.990110,50.017560,"13001| Tarnów ul. E. Goldhammera.|"
21.001610,51.440280,"13025| Zakrzew|"
21.003510,50.017650,"13004| Tarnów ul. Sloneczna|"
21.011340,50.019550,"13000| Tarnów Al. Jana Pawla II|"
21.082310,50.777100,"12873| lagów Dla jadacych do Kielc.|"
21.130670,51.383990,"12949| Radom ul. Wierzbicka|"
21.144030,51.446430,"12947| Radom|"
21.160200,50.797660,"12933| Piórków|"
21.165040,51.405720,"12948| Radom ul. 25 Czerwca|"
21.208740,50.798650,"12975| Stary Nieskurzów|"
21.258370,50.799510,"12910| Olszownica Dla jadacych do Kielc.|"
21.398260,54.076740,"12823| Ketrzyn Przejscie dla pieszych|"
21.411820,50.803490,"12916| Opatów|"
21.435540,50.293130,"12892| Mielec Aleja Niepodleglosci  przyz zjezdzie z wiad|"
21.712360,50.703360,"12961| Sandomierz ul. Ozarowska|"
21.873970,52.827280,"12925| Ostrów Mazowiecka|"
21.876390,52.797850,"12926| Ostrów Mazowiecka|"
21.880140,52.789630,"12927| Ostrow Mazowiecka ul. Brokowska|"
21.881540,52.808560,"12928| Ostrow Mazowiecka ul.Sikorskiego  lapie jadac w ki|"
21.904260,50.071940,"12991| swilcza Kierunek Tarnów.|"
21.970970,50.014100,"12946| Radar|"
21.974210,50.016120,"12956| Rzeszów|"
21.979790,50.095790,"12938| Pogwizdów Nowy|"
22.008350,50.059350,"12957| Rzeszów|"
22.017190,50.013520,"12959| Rzeszów W strone miasta.|"
22.017350,50.010300,"12958| Rzeszów|"
22.046370,50.570690,"12971| Stalowa Wola ul. Komisji Edukacji Narodowej|"
22.050330,53.176910,"12882| lomza|"
22.057120,50.574340,"12972| Stalowa Wola ul. Komisji Edukacji Narodowej|"
22.057600,50.609670,"12969| Stalowa Wola|"
22.057630,53.162030,"12883| lomza Al. Legionów/Przykoszarowa|"
22.067920,50.561530,"12973| Stalowa Wola ul. Staszica|"
22.068230,53.162490,"12884| lomza Al. Pilsudskiego|"
22.069150,50.138120,"12978| Stobierna|"
22.076500,53.164710,"12886| lomza ul. Zawdzka|"
22.083430,53.161370,"12885| lomza Al. Pilsudskiego|"
22.084600,50.543810,"12970| Stalowa Wola ul. Energetyków|"
22.092950,50.041210,"12870| Krasne Kierunek Przemysl.|"
22.150240,50.045960,"12846| Kraczkowa Kierunek Rzeszów.|"
22.247730,52.162960,"12964| Siedlce ul. Monte Cassino|"
22.251190,52.156010,"12962| Siedlce|"
22.270470,52.178190,"12963| Siedlce|"
22.272900,50.081280,"12810| Gluchów Kierunek Rzeszów.|"
22.333000,51.354530,"12801| Garbów|"
22.344840,53.825800,"12797| Elk ul. Wojska Polskiego.|"
22.361840,53.810890,"12794| Elk ul. Kilinskiego.|"
22.365590,53.803620,"12793| Elk ul. Grajewska.|"
22.370310,53.829280,"12795| Elk ul. Suwalska. Dla jadacych do Augustowa.|"
22.379450,53.831330,"12796| Elk ul. Suwalska. Dla jadacych do centrum.|"
22.463787,53.649011,"18737|19-200 Grajewo Miasto|61-Kopernika $0x817b787b4a$"
22.554330,51.241740,"12888| Lublin Skrzyzowanie Lipowa Narutowicza|"
22.569640,51.251530,"12887| Lublin Na czerwonym|"
22.620920,51.357170,"12897| Niemce|"
22.896070,54.103300,"12983| Suwalki ul. 23 Pazdziernika.|"
22.932120,54.075130,"12986| Suwalki ul. Wojska Polskiego. Dla jadacych do   ce|"
22.938210,54.118870,"12984| Suwalki ul. Pulaskiego|"
22.943320,54.094540,"12985| Suwalki ul. Utrata.|"
22.953412,53.828798,"18738|16-300 Augustow Miasto|61-Wojska Polskiego $0x8c8a858d57$"
22.978746,53.934104,"18745| Nowinka|E67 $0x7e83837b824d$"
22.981128,53.836242,"18739|16-300 Augustow Miasto|E67 $0x88877d834f$"
23.002515,53.854194,"18740|16-300 Augustow Miasto|E67 $0x898e868c58$"
23.003698,53.862189,"18746| Augustow|E67 $0x8183887e8450$"
23.122910,53.159600,"12747| Bialystok ul. Maczka|"
23.149740,53.139600,"12751| Bialystok ul.Poleska|"
23.165600,53.133840,"12748| Bialystok ul. Pilsudskiego|"
23.172560,53.123690,"12750| Bialystok ul.Mickiewicza|"
23.183790,50.825290,"12976| Stary Zamosc Dla jadacych od Lublina|"
23.191840,53.121890,"12749| Bialystok ul.Branickiego|"
23.221250,50.713390,"13026| Zamosc Dla jadacych od Bilgoraja|"
23.251830,50.727470,"13027| Zamosc Dla jadacych od Lublina|"
23.286210,50.712010,"13028| Zamosc Dla jadacych od Tomaszowa Lub.|"
23.296520,53.296680,"12769| Czarna Bialostocka|"
23.305250,53.301980,"12770| Czarna Bialostocka|"
